iter	Passed	Remaining
406	6582	6355
407	6597	6338
408	6611	6320
409	6624	6301
410	6639	6283
411	6653	6266
412	6667	6248
413	6682	6230
414	6697	6213
415	6713	6197
416	6729	6180
417	6744	6164
418	6759	6146
419	6772	6127
420	6786	6109
421	6800	6091
422	6816	6075
423	6831	6057
424	6846	6041
425	6860	6023
426	6875	6006
427	6890	5989
428	6904	5971
429	6917	5952
430	6932	5934
431	6946	5917
432	6961	5900
433	6975	5882
434	6991	5866
435	7006	5849
436	7028	5838
437	7042	5820
438	7057	5803
439	7072	5786
440	7087	5769
441	7102	5752
442	7119	5737
443	7135	5721
444	7150	5704
445	7164	5686
446	7180	5670
447	7194	5652
448	7211	5637
449	7226	5620
450	7242	5604
451	7261	5590
452	7275	5572
453	7291	5556
454	7308	5541
455	7324	5525
456	7341	5509
457	7357	5493
458	7372	5476
459	7387	5460
460	7401	5442
461	7427	5433
462	7439	5414
463	7452	5396
464	7467	5379
465	7481	5362
466	7496	5345
467	7510	5327
468	7523	5310
469	7536	5291
470	7550	5273
471	7565	5257
472	7580	5240
473	7596	5224
474	7612	5208
475	7630	5193
476	7646	5177
477	7662	5161
478	7678	5145
479	7696	5131
480	7712	5115
481	7728	5098
482	7744	5082
483	7759	5066
484	7775	5050
485	7791	5033
486	7806	5017
487	7821	5000
488	7836	4984
489	7850	4966
490	7863	4948
491	7877	4931
492	7892	4914
493	7907	4898
494	7922	4881
495	7937	4865
496	7952	4848
497	7966	4831
498	7980	4814
499	7995	4797
500	8010	4780
501	8025	4763
502	8040	4747
503	8056	4731
504	8074	4716
505	8089	4700
506	8105	4684
507	8121	4668
508	8137	4652
509	8153	4636
510	8169	4620
511	8185	4604
512	8201	4588
513	8218	4572
514	8233	4556
515	8249	4540
516	8265	4524
517	8280	4507
518	8295	4491
519	8309	4474
520	8324	4457
521	8338	4440
522	8353	4424
523	8368	4408
524	8383	4391
525	8397	4374
526	8412	4357
527	8426	4341
528	8440	4323
529	8454	4306
530	8467	4289
531	8482	4273
532	8498	4257
533	8513	4240
534	8528	4224
535	8542	4207
536	8557	4191
537	8573	4174
538	8587	4158
539	8602	4141
540	8615	4124
541	8629	4107
542	8644	4091
543	8659	4074
544	8673	4058
545	8689	4042
546	8704	4025
547	8718	4009
548	8732	3992
549	8746	3975
550	8760	3958
551	8775	3942
552	8790	3926
553	8806	3910
554	8821	3894
555	8836	3878
556	8851	3861
557	8866	3845
558	8880	3828
559	8894	3811
560	8909	3795
561	8923	3779
562	8938	3762
563	8954	3746
564	8969	3730
565	8983	3714
566	8998	3697
567	9012	3681
568	9026	3664
569	9039	3647
570	9055	3631
571	9069	3615
572	9084	3599
573	9099	3582
574	9114	3566
575	9129	3550
576	9143	3533
577	9157	3517
578	9171	3500
579	9185	3484
580	9201	3468
581	9216	3452
582	9231	3436
583	9246	3420
584	9262	3404
585	9285	3391
586	9300	3374
587	9314	3358
588	9328	3341
589	9344	3325
590	9359	3309
591	9375	3294
592	9389	3277
593	9403	3261
594	9416	3244
595	9429	3227
596	9445	3211
597	9460	3195
598	9485	3183
599	9498	3166
600	9512	3149
601	9528	3134
602	9543	3117
603	9558	3101
604	9574	3085
605	9589	3069
606	9604	3053
607	9619	3037
608	9633	3021
609	9647	3004
610	9661	2988
611	9675	2972
612	9690	2956
613	9712	2942
614	9742	2930
615	9773	2919
616	9792	2904
617	9814	2890
618	9831	2874
619	9845	2858
620	9858	2841
621	9872	2825
622	9887	2809
623	9902	2792
624	9916	2776
625	9932	2760
626	9946	2744
627	9961	2728
628	9975	2712
629	9989	2695
630	10003	2679
631	10018	2663
632	10033	2647
633	10058	2633
634	10072	2617
635	10086	2600
636	10100	2584
637	10116	2568
638	10131	2552
639	10146	2536
640	10160	2520
641	10176	2504
642	10190	2488
643	10205	2472
644	10220	2456
645	10235	2439
646	10249	2423
647	10263	2407
648	10278	2391
649	10302	2377
650	10314	2360
651	10328	2344
652	10343	2328
653	10358	2312
654	10372	2296
655	10385	2279
656	10398	2263
